timestep,epsilon,alpha,error
7015.0,0.9655329139013683,0.09655329139013727,0.5486292664386738
7074.0,0.9652481229885127,0.0965248122988517,0.3997861437807888
7159.0,0.9648379786727184,0.09648379786727226,0.3578480467600702
7177.0,0.964751146945044,0.09647511469450488,0.32578756171910683
7199.0,0.9646450298901315,0.09646450298901361,0.3186045114825564
7429.0,0.9635363229626533,0.09635363229626583,1.1946950136403593
7459.0,0.9633918029921765,0.09633918029921813,1.7465908965819033
7559.0,0.9629102262909429,0.09629102262909482,1.6271119375836438
7665.0,0.9624000178126731,0.09624000178126782,1.4391310643965944
7918.0,0.961183348454071,0.09611833484540763,0.9362894288833914
7992.0,0.9608277755112585,0.09608277755112637,0.6447239732939352
8027.0,0.9606596449420698,0.09606596449420753,0.5826751258613303
8365.0,0.9590374971876722,0.09590374971876779,0.5258105046236761
8476.0,0.9585053777232397,0.0958505377723246,0.4608935297401633
8509.0,0.9583472369875315,0.09583472369875376,1.5567225373147533
8525.0,0.9582705720835466,0.09582705720835528,2.6528965420053545
8603.0,0.9578969184934826,0.09578969184934892,0.38792854685474154
8634.0,0.9577484556061285,0.09577484556061354,0.870931750467534
8700.0,0.9574324499695593,0.09574324499695665,0.6508921232014515
9046.0,0.9557775196212771,0.09557775196212834,0.5724445995227292
9307.0,0.9545310403465881,0.09545310403465941,0.5093354073184102
9543.0,0.9534053551896162,0.0953405355189622,0.033127491371338635
9584.0,0.9532099266353407,0.09532099266353464,0.1591727356253152
9678.0,0.9527620221158638,0.09527620221158693,1.2011604822722823
9719.0,0.9525667254316805,0.09525667254316861,1.0862393099277874
10100.0,0.9507538086389323,0.09507538086389376,0.441718998678418
10969.0,0.9466317347258251,0.09466317347258346,0.2840695820535686
10984.0,0.9465607398305745,0.09465607398305843,0.25715936620538216
10987.0,0.9465465414904689,0.09465465414904788,0.7593909709631461
11307.0,0.9450332741775835,0.09450332741775938,0.676711708920724
11353.0,0.9448159409754636,0.09448159409754746,0.6126192817329965
11388.0,0.9446506122391557,0.09446506122391675,0.018125151501578785
11609.0,0.9436073472145401,0.09436073472145524,0.4960826954953639
11698.0,0.9431875343107925,0.09431875343108051,0.35964478003155165
11706.0,0.9431498074696445,0.0943149807469657,0.40493107808095274
11760.0,0.9428951907598866,0.09428951907598988,0.36664100456385285
11862.0,0.94241443561369,0.09424144356137011,0.19165199612341155
11872.0,0.9423673159521111,0.09423673159521222,1.4650260815098228
11985.0,0.9418350274735281,0.09418350274735382,5.733914121659918
12080.0,0.9413877609515166,0.09413877609515268,0.1614059122354945
12219.0,0.9407337221273707,0.09407337221273811,0.01797189544250344
13307.0,0.9356300125960587,0.09356300125960694,1.407895750339705
13763.0,0.9334992008887077,0.09334992008887183,1.3919085061438032
13846.0,0.9331118781270609,0.09331118781270714,1.2571617004708386
14011.0,0.9323423763669665,0.09323423763669779,1.186534613865625
14034.0,0.9322351628905426,0.09322351628905538,1.2529441235045056
14765.0,0.9288340541798467,0.09288340541798544,0.8684680688449866
14895.0,0.9282305067099338,0.0928230506709941,0.5714497994235685
14907.0,0.9281748144110856,0.09281748144110928,1.0259852750741487
14944.0,0.9280031175236276,0.09280031175236345,0.8605022685203032
15301.0,0.926348105359098,0.09263481053591044,5.179823113034885
15390.0,0.9259359711285418,0.09259359711285484,0.5644110486590819
15470.0,0.9255656698795214,0.0925565669879528,1.3482203449956103
15673.0,0.9246266949875187,0.09246266949875258,1.019904479034139
15721.0,0.9244048106531945,0.09244048106532013,0.9253792700356769
15727.0,0.9243770788555242,0.0924377078855531,0.6945902015376362
15733.0,0.9243493478897975,0.09243493478898043,0.28457923069939994
15850.0,0.9238087603070936,0.09238087603071003,0.01565720831992934
15940.0,0.923393138847741,0.09233931388477469,1.3200530782033937
15963.0,0.9232869544770301,0.09232869544770357,1.2892471983594405
16172.0,0.9223226211506794,0.09223226211506849,4.257325242028692
16256.0,0.9219353260192256,0.09219353260192308,1.1235816551813826
16286.0,0.9217970457459009,0.09217970457459054,1.019841705111432
16485.0,0.9208803115444378,0.09208803115444432,1.2810052899491424
16523.0,0.9207053604687436,0.09207053604687492,1.1628190777318608
16738.0,0.9197161315389728,0.0919716131538978,3.777712254153208
16978.0,0.9186131313560857,0.09186131313560914,1.0191681621927202
17042.0,0.9183192214473677,0.09183192214473737,0.7471135557914366
17048.0,0.9182916722150917,0.09182916722150974,0.5886551366774881
17055.0,0.9182595324886631,0.09182595324886687,1.1889237864110598
17150.0,0.9178234616955627,0.0917823461695568,2.8710670026527723
17163.0,0.917763804960275,0.09177638049602804,2.684310619462906
17486.0,0.9162828089389469,0.0916282808938951,0.925184792797296
17836.0,0.9146807122615104,0.09146807122615157,2.997696497842
18064.0,0.9136385677793811,0.0913638567779386,2.3127858750488954
18076.0,0.9135837509727927,0.09135837509727975,2.1013547522200113
18185.0,0.9130859822383872,0.09130859822383926,2.437056449908276
18391.0,0.9121459855081024,0.0912145985508108,1.386305696595052
18626.0,0.9110748407180613,0.09110748407180651,4.4666803417726655
18793.0,0.910314408849463,0.09103144088494675,0.9985244473346455
18845.0,0.9100777572775689,0.09100777572775733,0.841726302671816
19141.0,0.9087318350600988,0.09087318350601031,0.815206271872043
19487.0,0.9071610841498509,0.0907161084149856,0.7161886297977205
19665.0,0.9063540679428923,0.09063540679428975,0.15428943942104922
19876.0,0.9053983662332457,0.09053983662332514,0.6498707882824135
19929.0,0.9051584668545152,0.09051584668545205,0.7893173335976655
20276.0,0.9035893745729442,0.09035893745729488,0.022116695237990314
20444.0,0.9028306762994371,0.09028306762994422,0.16409935161411937
20459.0,0.9027629663685935,0.0902762966368598,0.19529466848154442
20752.0,0.9014413836146314,0.09014413836146358,0.6642941611265272
21080.0,0.8999642276515717,0.08999642276515743,0.7537463300199363
21180.0,0.8995143568901278,0.08995143568901304,0.6855689855851708
21381.0,0.8986107968175331,0.0898610796817535,0.6232743638978349
21512.0,0.8980223979962666,0.08980223979962677,0.5668948179527717
21735.0,0.8970216585365703,0.08970216585365719,0.5154113879286868
22105.0,0.8953636984093468,0.08953636984093469,0.4683106912859074
22125.0,0.8952741662923552,0.08952741662923555,0.42633721607050745
22231.0,0.8947997955176489,0.08947997955176487,0.5646412894261843
22279.0,0.894585068798143,0.08945850687981423,2.1508458430160005
22502.0,0.8935881598341814,0.08935881598341797,1.6385237439018994
22537.0,0.8934317951976023,0.08934317951976002,1.912560719095275
22626.0,0.8930343055030281,0.08930343055030257,1.802846455104742
23123.0,0.8908178647809174,0.08908178647809138,1.8253867531752874
23182.0,0.8905551116119197,0.08905551116119166,1.5199427189761465
23416.0,0.8895137688322851,0.08895137688322823,1.741712177835339
23714.0,0.8881893769227306,0.08881893769227275,2.9122063886654956
23746.0,0.8880472776354197,0.08880472776354166,1.931236469348839
23978.0,0.8870177374682464,0.08870177374682423,1.9997745686366741
23995.0,0.886942343976346,0.08869423439763417,1.4134719341236774
24066.0,0.8866275345391891,0.0886627534539185,0.56875908900291
24387.0,0.885205635170975,0.08852056351709703,0.5206005637263544
24791.0,0.8834193201077496,0.08834193201077441,0.6430908779708062
24977.0,0.882598120004278,0.08825981200042728,0.4912128525331454
25008.0,0.8824613275553836,0.08824613275553786,0.41537596678827526
25065.0,0.8822098612840081,0.08822098612840032,4.990243756844606
25090.0,0.882099591667667,0.08820995916676622,4.549430815776915
25183.0,0.8816895096837832,0.08816895096837789,4.160620933025214
25779.0,0.8790659793877245,0.08790659793877192,0.8952489011783626
25893.0,0.8785650533046502,0.0878565053304645,0.9350480543663267
25950.0,0.8783146973159893,0.08783146973159842,3.9263206592044213
25978.0,0.8781917415580789,0.08781917415580734,3.5809647736520347
26035.0,0.8779414919483719,0.08779414919483662,1.5074164216798707
26145.0,0.8774587556855974,0.08774587556855908,1.1162518691353611
26380.0,0.8764283445567197,0.08764283445567125,1.237050150567626
26506.0,0.8758763672108221,0.08758763672108151,1.1297156347909407
26597.0,0.875477933118283,0.08754779331182758,1.0319274346453966
26800.0,0.8745897716139707,0.08745897716139625,0.9416018930824777
26847.0,0.8743842666516561,0.08743842666516477,3.1894848429850953
26912.0,0.8741001372282003,0.08741001372281919,2.5250260750753597
27067.0,0.8734229703649784,0.08734229703649699,2.41494957463685
27155.0,0.8730387478326143,0.08730387478326054,0.5050968186445886
27261.0,0.8725761587367249,0.08725761587367166,1.337270818076
27391.0,0.8720091671083045,0.08720091671082957,4.190620615312021
27576.0,0.8712029295554828,0.08712029295554738,0.27710594329418115
27610.0,0.8710548372754271,0.08710548372754182,0.24566052667469762
27731.0,0.8705280071639734,0.0870528007163966,0.11899858296546029
27921.0,0.8697013961930125,0.08697013961930046,3.8708856805707654
27984.0,0.8694274827120637,0.08694274827120553,3.5331211012456762
